NAMES        STATUS          PORTS
orderer3     Up 20 minutes   0.0.0.0:9050->9050/tcp, [::]:9050->9050/tcp, 7050/tcp, 0.0.0.0:19050->19050/tcp, [::]:19050->19050/tcp
ca-org2      Up 20 minutes   0.0.0.0:8054->8054/tcp, [::]:8054->8054/tcp, 7054/tcp, 0.0.0.0:18054->18054/tcp, [::]:18054->18054/tcp
peer0-org3   Up 20 minutes   0.0.0.0:9445->9445/tcp, [::]:9445->9445/tcp, 7051/tcp, 0.0.0.0:11051->11051/tcp, [::]:11051->11051/tcp
peer0-org2   Up 20 minutes   0.0.0.0:9051->9051/tcp, [::]:9051->9051/tcp, 7051/tcp, 0.0.0.0:9444->9444/tcp, [::]:9444->9444/tcp
ca-org3      Up 20 minutes   0.0.0.0:9054->9054/tcp, [::]:9054->9054/tcp, 7054/tcp, 0.0.0.0:19054->19054/tcp, [::]:19054->19054/tcp
orderer1     Up 20 minutes   0.0.0.0:7050->7050/tcp, [::]:7050->7050/tcp, 0.0.0.0:17050->17050/tcp, [::]:17050->17050/tcp
grafana      Up 20 minutes   0.0.0.0:3000->3000/tcp, [::]:3000->3000/tcp
peer0-org1   Up 20 minutes   0.0.0.0:7051->7051/tcp, [::]:7051->7051/tcp, 0.0.0.0:9443->9443/tcp, [::]:9443->9443/tcp
orderer2     Up 20 minutes   0.0.0.0:8050->8050/tcp, [::]:8050->8050/tcp, 7050/tcp, 0.0.0.0:18050->18050/tcp, [::]:18050->18050/tcp
prometheus   Up 20 minutes   0.0.0.0:9090->9090/tcp, [::]:9090->9090/tcp
ca-org1      Up 20 minutes   0.0.0.0:7054->7054/tcp, [::]:7054->7054/tcp, 0.0.0.0:17054->17054/tcp, [::]:17054->17054/tcp
